City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
163,Kavieng,PG,81.52,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
166,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
167,Kalabo,ZM,71.47,clear sky,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
171,Lencois Paulista,BR,76.73,light rain,-22.5986,-48.8003,Saint James Palace Hotel
174,Darnah,LY,76.77,few clouds,32.767,22.6367,فندق الفردوس
176,Fort-Shevchenko,KZ,74.16,clear sky,44.5086,50.263,Oasis hotel Bautino
178,Bethel,US,79.36,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
179,Martapura,ID,73.49,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
180,Turbat,PK,79.83,clear sky,26.0023,63.044,Mubashar Quarters
182,Prado,BR,74.37,scattered clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
189,Buraydah,SA,86.45,clear sky,26.326,43.975,Mövenpick Qassim
191,Sao Filipe,CV,78.82,scattered clouds,14.8961,-24.4956,Hotel Xaguate
192,Sinjar,IQ,82.71,overcast clouds,36.3209,41.8754,زوماني فون 1
195,Qom,IR,81.25,clear sky,34.6401,50.8764,Qom Hotel
201,Wanning,CN,78.15,overcast clouds,18.8003,110.3967,Paradise Hotel
206,Kavaratti,IN,80.87,clear sky,10.5669,72.642,Green leaf
207,Yako,BF,76.62,scattered clouds,12.9667,-2.2667,CADAAY
210,Manali,IN,84.29,broken clouds,13.1667,80.2667,Sarathy Lodge
211,Victoria,HK,82.45,overcast clouds,22.2855,114.1577,Mini Central
213,Nisia Floresta,BR,82.78,clear sky,-6.0911,-35.2086,Rancho Crepusculo
217,Sulangan,PH,82.67,overcast clouds,11.1373,123.7228,Maia's Beach Resort
219,Madaoua,NE,89.13,scattered clouds,14.073,5.96,
221,Santa Rosa,PH,80.58,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
222,Cabo San Lucas,MX,86.18,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
224,Damietta,EG,78.69,clear sky,31.4165,31.8133,SULIMAN INN
225,Nanakuli,US,87.75,overcast clouds,21.3906,-158.1547,Camp Pālehua
226,Arlit,NE,88.34,light rain,18.7369,7.3853,Case de Passage De la Prefecture
227,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
229,Bambanglipuro,ID,76.05,overcast clouds,-7.95,110.2833,Puri Brata
232,Ouesso,CG,71.64,moderate rain,1.6136,16.0517,ABENIE Hotel
233,Bastia,FR,70.3,few clouds,42.6667,9.3333,Hotel Santa Maria
234,Bac Lieu,VN,78.62,light rain,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
235,Onverwacht,SR,83.86,thunderstorm,5.5833,-55.1833,"Overtoom, District Para, Paramaribo"
238,Tarakan,ID,72.9,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
248,Cascais,PT,71.94,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
250,Saint George,US,88.43,broken clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
253,Adrar,MR,92.37,broken clouds,20.5022,-10.0711,
255,Adre,TD,78.22,overcast clouds,13.4667,22.2,
258,Jacqueville,CI,75.99,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
259,Tabuk,PH,71.35,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
260,Jabinyanah,TN,78.48,overcast clouds,35.035,10.9081,maison belmabrouk
265,Alta Floresta,BR,78.62,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
269,Xuddur,SO,75.0,scattered clouds,4.1213,43.8894,Banjanay Hotel
270,Lorengau,PG,78.91,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
271,Naisud,PH,74.12,overcast clouds,11.8058,122.1939,ALTUQUERO
274,Bathsheba,BB,80.98,overcast clouds,13.2167,-59.5167,Atlantis Hotel
277,Takoradi,GH,75.16,broken clouds,4.8845,-1.7554,Raybow International Hotel
278,Bourail,NC,72.72,few clouds,-21.5667,165.4833,Motel Allamanda
279,Ugoofaaru,MV,81.9,few clouds,5.6667,73.0,Ungoofaaru Inn
281,Xicotencatl,MX,91.47,clear sky,23.0167,-98.8833,Misioneros Vázquez Mireles
282,Batticaloa,LK,79.11,clear sky,7.7102,81.6924,Grand Star Guest House
288,Tall Kayf,TR,77.86,overcast clouds,37.0833,41.0667,
292,Katobu,ID,73.96,broken clouds,-4.9408,122.5276,La Ode Husein
294,Masuguru,TZ,74.01,scattered clouds,-11.3667,38.4167,
298,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
302,Sola,VU,79.3,few clouds,-13.8833,167.55,Leumerus Bungalows
304,Nishihara,JP,78.08,scattered clouds,26.1842,127.7558,Minshuku Agaihama
306,Itarema,BR,78.01,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
308,Hobyo,SO,76.69,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
309,Guerrero Negro,MX,80.51,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
311,Faanui,PF,78.48,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
312,Westport,US,80.94,clear sky,41.1415,-73.3579,The Westport Inn
313,Americus,US,93.65,clear sky,32.0724,-84.2327,Best Western Plus Windsor Hotel
314,Dzidzantun,MX,86.14,few clouds,21.25,-89.05,Hacienda San Francisco Tzacalha
319,Tikrit,IQ,89.13,broken clouds,34.6071,43.6782,عماره العبطه
320,Pombas,CV,76.78,few clouds,17.1503,-25.0201,Paul Paradis
321,Port-Gentil,GA,78.76,broken clouds,-0.7193,8.7815,Fengshui Residence
322,Ponta Do Sol,PT,75.0,broken clouds,32.6667,-17.1,Hotel do Campo
323,Mayo,US,88.36,clear sky,38.8876,-76.5119,Resorts Resource Group International
327,Mana,GF,80.96,scattered clouds,5.6592,-53.7767,LE SAMANA
331,Cairns,AU,71.55,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
336,Poum,NC,75.49,clear sky,-20.2333,164.0167,
337,Amuntai,ID,72.37,overcast clouds,-2.4177,115.2494,Hotel Balqis
338,Karwar,IN,75.92,overcast clouds,14.8,74.1333,Netalco Connects
339,Pentecoste,BR,78.94,clear sky,-3.7928,-39.2703,Motel Big love
341,Naze,JP,76.64,light rain,28.3667,129.4833,Shishime Hotel
347,Adiake,CI,74.88,scattered clouds,5.2863,-3.304,HOTEL COEUR D'OR
348,Lompoc,US,78.94,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
349,Itoman,JP,78.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
350,Hirara,JP,79.48,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
352,Axim,GH,75.43,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
357,Worcester,US,71.56,scattered clouds,42.3334,-71.8328,Classic Suites & Inns
359,Dingle,PH,74.53,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
360,Bambous Virieux,MU,71.85,light rain,-20.3428,57.7575,Casa Tia Villa
362,Albion,US,84.06,scattered clouds,42.2431,-84.753,Days Inn by Wyndham Albion
365,Sinnamary,GF,81.19,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
366,Benin,BJ,73.89,overcast clouds,9.5,2.25,
367,Isangel,VU,77.05,clear sky,-19.55,169.2667,Tanna Lodge
376,Luis Correia,BR,82.4,broken clouds,-2.8792,-41.6669,Hotel Amarração
377,Omboue,GA,75.88,overcast clouds,-1.5746,9.2618,Hotel Olako
378,Saiha,IN,70.32,overcast clouds,22.4833,92.9667,"Circuit House, Siaha"
381,Oussouye,SN,75.69,light rain,12.485,-16.5469,Auberge du Routard
384,Fare,PF,78.71,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
386,Shelburne,CA,77.13,broken clouds,44.0787,-80.2041,The Retreat at the Farm
387,Camacha,PT,71.02,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
