City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Chernyshevskiy,RU,63.0128,112.4714,24.24,85,88,2.08,overcast clouds
80,Colares,PT,38.7992,-9.4469,71.76,89,20,11.99,few clouds
81,Karratha,AU,-20.7377,116.8463,69.87,34,0,6.42,light rain
82,Portland,US,45.5234,-122.6762,80.82,44,75,5.75,broken clouds
83,Gushikawa,JP,26.3544,127.8686,78.8,84,0,0.0,clear sky
84,Severo-Kurilsk,RU,50.6789,156.125,49.06,76,10,13.71,clear sky
85,Hami,CN,42.8,93.45,68.05,12,0,7.23,clear sky
86,Jalu,LY,29.0331,21.5482,88.07,17,6,12.93,clear sky
87,Kijang,KR,35.2442,129.2139,58.73,76,51,9.4,broken clouds
88,Manta,EC,-0.95,-80.7333,78.58,73,40,10.36,scattered clouds
89,Tabasco,MX,18.0,-92.6667,87.91,66,75,5.75,broken clouds
90,Hilo,US,19.7297,-155.09,84.25,76,15,5.99,few clouds
91,Porto Novo,BJ,6.4965,2.6036,78.62,90,100,4.85,overcast clouds
92,Butaritari,KI,3.0707,172.7902,79.61,76,90,4.54,light rain
93,Esperance,AU,-33.8667,121.9,53.44,74,98,14.74,overcast clouds
94,Norman Wells,CA,65.282,-126.8329,51.84,76,75,4.61,broken clouds
95,Tocopilla,CL,-22.092,-70.1979,63.05,69,23,13.04,few clouds
96,Salalah,OM,17.0151,54.0924,78.31,85,75,4.83,broken clouds
97,Port Elizabeth,ZA,-33.918,25.5701,61.09,92,0,6.91,clear sky
98,San Quintin,MX,30.4833,-115.95,75.16,66,11,16.75,few clouds
99,Aklavik,CA,68.2191,-135.0107,45.07,71,98,3.87,overcast clouds
100,Asau,RO,46.4333,26.4,45.52,92,99,2.35,overcast clouds
101,Rovaniemi,FI,66.5,25.7167,45.81,93,75,10.36,broken clouds
102,Nemuro,JP,43.3236,145.575,55.99,75,0,3.31,clear sky
103,East London,ZA,-33.0153,27.9116,60.89,79,21,14.45,few clouds
104,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,75,8.05,broken clouds
105,Clyde River,CA,70.4692,-68.5914,32.23,69,75,2.3,broken clouds
106,Lucera,IT,41.5082,15.3351,56.08,50,4,7.47,clear sky
107,Mwene-Ditu,CD,-7.0,23.45,70.72,81,78,2.71,light rain
108,Tutoia,BR,-2.7619,-42.2744,78.78,81,12,13.49,few clouds
109,Inirida,CO,3.8653,-67.9239,74.25,96,98,3.11,overcast clouds
110,Fort Nelson,CA,58.8053,-122.7002,63.99,48,40,4.61,scattered clouds
111,Dunedin,NZ,-45.8742,170.5036,52.81,77,10,0.83,clear sky
112,Korem,ET,12.5058,39.5228,56.88,74,39,0.78,light rain
113,Baran,IN,25.1,76.5167,76.19,89,94,4.18,overcast clouds
114,Hamilton,US,39.1834,-84.5333,95.95,48,1,5.01,clear sky
115,Panalingaan,PH,8.7842,117.4231,78.33,85,100,3.76,overcast clouds
116,Nakusp,CA,50.2499,-117.8023,61.14,48,0,2.3,clear sky
117,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,71,20,4.61,few clouds
118,Albany,US,42.6001,-73.9662,75.72,72,53,1.01,broken clouds
119,Orotukan,RU,62.2667,151.7,29.3,89,95,5.1,overcast clouds
120,Cayenne,GF,4.9333,-52.3333,84.24,65,0,6.91,clear sky
